,strategy,benchmark
2024-09-11,85962.99268217177,99222.14723776843
2024-09-12,86837.82719968478,100098.23126948644
2024-09-13,87150.18011820684,99567.3530840872
2024-09-16,87156.26866957721,98572.107184817
2024-09-17,87924.71229379547,99074.97499685714
2024-09-18,88727.89521573726,99183.8672754202
2024-09-19,89673.80107054095,100714.05819886127
2024-09-20,90338.02176017546,100151.34468195341
2024-09-23,89916.90660295478,100649.53158811688
2024-09-24,91103.66116460554,102566.65925493065
2024-09-25,90575.6728809527,101998.69871253084
2024-09-26,90934.23739694645,102749.87789813256
2024-09-27,89307.39574938276,101294.70684071729
2024-09-30,88481.92506553703,101016.38373305787
2024-10-01,90478.52566466558,102308.87454158271
2024-10-02,90025.703667893,101901.11929844465
2024-10-03,89021.44593301154,101384.28284792826
2024-10-04,90470.92088863614,103019.89369657484
